team_turnovers,team_rebounds,team_offensive_rebounds,team_defensive_rebounds,bench_points,starter_points,biggest_lead,biggest_scoring_run,points,assists,rebounds,defensive_rebounds,offensive_rebounds,steals,blocks,blocks_received,turnovers,three_points_made,three_point_attempts,three_point_percentage,two_points_made,two_point_attempts,two_point_percentage,field_goals_made,field_goal_attempts,field_goal_percentage,contested_field_goals_made,contested_field_goal_attempts,uncontested_field_goals_made,uncontested_field_goal_attempts,jumpshots_made,jumpshot_attempts,dunks_made,dunk_attempts,layups_made,layup_attempts,offensive_fouls,defensive_fouls,personal_fouls,technical_fouls,unsportsmanlike_fouls,fouls_received,offensive_fouls_received,defensive_fouls_received,free_throws_made,free_throw_attempts,free_throw_percentage,fastbreak_points,fastbreak_attempts,turnover_points,points_in_the_paint,points_in_the_paint_made,points_in_the_paint_attempts,perimeter_points,perimeter_points_made,perimeter_point_attempts,second_chance_points,plus_minus,minutes_played,period,team_id,team_minutes,abbreviation,name,nickname,photo_url,home_away,game_no,schedule,venue
0,0,0,0,47,37,36,0,84,19,47,26,21,4,7,1,14,14,42,33.33,15,27,55.56,29,69,42.03,22,62,7,7,21,56,0,0,8,13,1,16,18,0,1,16,0,16,12,19,63.16,10,3,30,22,11,20,50,18,49,22,34,0,Total,6109d7cd-c824-4372-ab79-aea01b0f1a76,40,ATENEO,ATENEO,Blue Eagles,https://arinola.sgp1.digitaloceanspaces.com/store/3083115120133a1de8af0a80ae32657f.png,home,45,10/20/2019 14:00:00,Ynarez Gym
0,0,0,0,6,11,11,0,17,3,12,9,3,1,1,0,3,3,11,27.27,4,8,50,7,19,36.84,7,19,0,0,6,16,0,0,1,3,0,5,5,0,0,0,0,0,0,1,0,0,0,11,2,1,4,15,6,15,3,9,0,1,6109d7cd-c824-4372-ab79-aea01b0f1a76,10,ATENEO,ATENEO,Blue Eagles,https://arinola.sgp1.digitaloceanspaces.com/store/3083115120133a1de8af0a80ae32657f.png,home,45,10/20/2019 14:00:00,Ynarez Gym
0,0,0,0,7,16,17,0,23,6,11,6,5,1,3,1,3,5,9,55.56,1,5,20,6,14,42.86,3,11,3,3,6,12,0,0,0,2,1,5,6,0,0,7,0,7,6,9,66.67,6,2,3,2,1,5,15,5,9,7,6,0,2,6109d7cd-c824-4372-ab79-aea01b0f1a76,10,ATENEO,ATENEO,Blue Eagles,https://arinola.sgp1.digitaloceanspaces.com/store/3083115120133a1de8af0a80ae32657f.png,home,45,10/20/2019 14:00:00,Ynarez Gym
0,0,0,0,15,10,30,0,25,6,13,7,6,1,2,0,3,5,15,33.33,3,5,60,8,20,40,6,18,2,2,7,18,0,0,1,2,0,6,6,0,0,2,0,2,4,4,100,4,1,12,6,3,4,15,5,16,8,15,0,3,6109d7cd-c824-4372-ab79-aea01b0f1a76,10,ATENEO,ATENEO,Blue Eagles,https://arinola.sgp1.digitaloceanspaces.com/store/3083115120133a1de8af0a80ae32657f.png,home,45,10/20/2019 14:00:00,Ynarez Gym
0,0,0,0,19,0,36,0,19,4,11,4,7,1,1,0,5,1,7,14.29,7,9,77.78,8,16,50,6,14,2,2,2,10,0,0,6,6,0,0,1,0,1,7,0,7,2,5,40,0,0,4,12,6,7,5,2,9,4,4,0,4,6109d7cd-c824-4372-ab79-aea01b0f1a76,10,ATENEO,ATENEO,Blue Eagles,https://arinola.sgp1.digitaloceanspaces.com/store/3083115120133a1de8af0a80ae32657f.png,home,45,10/20/2019 14:00:00,Ynarez Gym
4,0,0,0,25,25,4,0,50,11,37,21,16,3,1,7,23,2,14,14.29,17,44,38.64,19,58,32.76,18,57,1,1,6,30,0,0,13,28,0,15,19,3,1,18,1,17,10,18,55.56,11,5,11,30,15,37,10,4,21,12,-34,0,Total,33671853-062b-48a2-9246-fe64b2a2a15c,40,UE,UE,Red Warriors,https://arinola.sgp1.digitaloceanspaces.com/store/fd73c3847c5f2478cf392464baec0b61.png,away,45,10/20/2019 14:00:00,Ynarez Gym
1,0,0,0,2,6,4,0,8,2,12,9,3,0,0,1,8,0,5,0,3,10,30,3,15,20,3,15,0,0,0,9,0,0,3,6,0,0,2,2,0,5,0,5,2,3,66.67,4,2,0,6,3,10,0,0,5,2,-9,0,1,33671853-062b-48a2-9246-fe64b2a2a15c,10,UE,UE,Red Warriors,https://arinola.sgp1.digitaloceanspaces.com/store/fd73c3847c5f2478cf392464baec0b61.png,away,45,10/20/2019 14:00:00,Ynarez Gym
0,0,0,0,12,5,4,0,17,6,9,4,5,0,1,3,2,1,1,100,5,14,35.71,6,15,40,6,15,0,0,3,7,0,0,3,8,0,7,8,1,0,6,1,5,4,8,50,5,2,3,8,4,11,5,2,4,2,-6,0,2,33671853-062b-48a2-9246-fe64b2a2a15c,10,UE,UE,Red Warriors,https://arinola.sgp1.digitaloceanspaces.com/store/fd73c3847c5f2478cf392464baec0b61.png,away,45,10/20/2019 14:00:00,Ynarez Gym
2,0,0,0,4,6,4,0,10,1,11,6,5,0,0,2,8,0,4,0,3,10,30,3,14,21.43,3,14,0,0,0,6,0,0,3,8,0,2,2,0,0,6,0,6,4,7,57.14,0,0,1,6,3,9,0,0,5,6,-15,0,3,33671853-062b-48a2-9246-fe64b2a2a15c,10,UE,UE,Red Warriors,https://arinola.sgp1.digitaloceanspaces.com/store/fd73c3847c5f2478cf392464baec0b61.png,away,45,10/20/2019 14:00:00,Ynarez Gym
1,0,0,0,7,8,4,0,15,2,5,2,3,3,0,1,5,1,4,25,6,10,60,7,14,50,6,13,1,1,3,8,0,0,4,6,0,6,7,0,1,1,0,1,0,0,0,2,1,7,10,5,7,5,2,7,2,-4,0,4,33671853-062b-48a2-9246-fe64b2a2a15c,10,UE,UE,Red Warriors,https://arinola.sgp1.digitaloceanspaces.com/store/fd73c3847c5f2478cf392464baec0b61.png,away,45,10/20/2019 14:00:00,Ynarez Gym
